id,brand,model,price_total,price_vehicle,year,mileage,displacement,transmission,prefecture,category,link,crawl_date,year_ce,mileage_wan_km,displacement_cc,vehicle_class,brand_clean,brand_origin
1055,日産,ノート 1.2 e-POWER X 純正SDナビ 全周囲カメラ 衝突被害軽減システム レーダークルーズ インテリジェントルームミラー 禁煙車 スマートキー コーナーセンサー ETC 純正15インチアルミ オートハイビーム 車線逸脱警報,97.9,86.0,"2019
(H31)","2.6
万km",1200CC,AT,Fukuoka,混合动力,/usedcar/detail/AU6957038246/index.html,2026-06-21,2019,2.6,1200.0,Compact (<=1500cc),Nissan,Domestic
1056,日産,セレナ 2.0 ハイウェイスター Vセレクション 禁煙車 両側電動ドア 純正9型SDナビ 11型後席モニター バックカメラ 衝突被害軽減システム ドラレコ コーナーセンサー スマートキー LEDヘッド ビルトインETC クルコン 純正16インチアルミ,135.9,123.1,"2018
(H30)","7.4
万km",2000CC,CVT,Fukuoka,混合动力,/usedcar/detail/AU6934807710/index.html,2026-06-21,2018,7.4,2000.0,Mid-size (1501-2000cc),Nissan,Domestic
1057,日産,ノート 1.2 e-POWER メダリスト 禁煙車 純正7インチSDナビ・フルセグTV 全方位カメラ デジタルインナーミラー 追従クルコン ハイビームアシスト ETC LEDヘッドライト フォグランプ プッシュスタート&スマートキー,100.0,93.3,"2020
(R02)","5.4
万km",1200CC,AT,Chiba,混合动力,/usedcar/detail/AU6950672410/index.html,2026-06-21,2020,5.4,1200.0,Compact (<=1500cc),Nissan,Domestic
1058,トヨタ,アルファード ハイブリッド 2.5 Z ガラスルーフ 両側電動 純正14ナビ 全周囲カメラ 100V電源 衝突軽減 レーダークルーズ 禁煙 電動リアゲート 前中席シートエアコン 合皮シート ドラレコ コーナーセンサー スマートキー,612.9,598.6,"2025
(R07)","1.1
万km",2500CC,MT,Mie,混合动力,/usedcar/detail/AU6944852284/index.html,2026-06-21,2025,1.1,2500.0,Large (2001-3000cc),Toyota,Domestic
1060,トヨタ,プリウス 1.8 A E-Four 4WD サポカーS 4WD 寒冷地仕様 ドライブレコーダー 純正アルミ ETC メモリーナビ フルセグTV CD・DVD再生 LED,138.9,129.0,"2020
(R02)","8.8
万km",1800CC,CVT,Toyama,混合动力,/usedcar/detail/AU6874389571/index.html,2026-06-21,2020,8.8,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
1061,日産,ノート 1.2 S 衝突軽減B 純正ディスプレイ Bluetooth対応 アラウンドビューモニター 電子パーキング ステアリングスイッチ 電動格納ミラー,129.9,117.3,"2021
(R03)","3.3
万km",1200CC,AT,Shiga,混合动力,/usedcar/detail/AU7065753654/index.html,2026-06-21,2021,3.3,1200.0,Compact (<=1500cc),Nissan,Domestic
1062,スバル,インプレッサXV ハイブリッド 2.0i-L アイサイト 4WD カロッツェリア製メモリーナビ バックカメラ レーダークルーズ スマートキー パワーシート HIDヘッドライト フォグライト ETC レーンキープアシスト 横滑り防止装置 オートライト オートエアコン,105.6,87.8,"2013
(H25)","3.5
万km",2000CC,MT,Iwate,混合动力,/usedcar/detail/AU7055840025/index.html,2026-06-21,2013,3.5,2000.0,Mid-size (1501-2000cc),Subaru,Domestic
1063,トヨタ,ノア 1.8 ハイブリッド Z 禁煙車 トヨタチームメイト セーフティセンス ACC パノラミックビューモニター フルセグ付ディスプレイオーディオ 両側パワースライドドア ビルトインETC LEDヘッドライト,342.1,326.7,"2023
(R05)","3.3
万km",1800CC,CVT,Hokkaido,混合动力,/usedcar/detail/AU6956425874/index.html,2026-06-21,2023,3.3,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
1066,スズキ,スイフト 1.2 ハイブリッド ML セーフティパッケージ装着車 衝突軽減B 社外ナビ Bluetooth対応 TV ETC LEDヘッドライト アダプティブクルーズコントロール 革巻きステアリング スマートキー プッシュスタート アイドリングストップ 純正アルミホイール,81.1,67.1,"2017
(H29)","3.3
万km",1200CC,MT,Shiga,混合动力,/usedcar/detail/AU6677439840/index.html,2026-06-21,2017,3.3,1200.0,Compact (<=1500cc),Suzuki,Domestic
1067,トヨタ,アクア 1.5 L 純正ナビ バックカメラ 禁煙車 ETC オートエアコン CD 純正14インチスチールホイール 電動格納ミラー,80.9,64.2,"2016
(H28)","5.8
万km",1500CC,CVT,Osaka,混合动力,/usedcar/detail/AU6991864017/index.html,2026-06-21,2016,5.8,1500.0,Compact (<=1500cc),Toyota,Domestic
